Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Deck,countDeck,Title,port_sex,Age_bin,FamilySize,Ticket_freq,Sex_Embarked,Sex_Deck,Sex_Title,Sex_FamilySize,Embarked_Deck,Embarked_Title,Embarked_FamilySize,Deck_Title,Deck_FamilySize,Title_FamilySize,poly0,poly1,poly2,poly3,poly4,poly5,poly6,poly7,poly8,poly9,poly10,poly11,poly12,poly13,poly14,poly15,poly16,poly17,poly18,poly19,poly20,poly21,poly22,poly23,poly24,poly25,poly26,poly27,poly28,poly29,poly30,poly31,poly32,poly33,poly34,poly35,poly36,poly37,poly38,poly39,poly40,poly41,poly42,poly43
,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,0.0,7.0,1014.0,623.0,2.0,1.0,9.0,3.0,0.0,21.0,3042.0,1869.0,6.0,3.0,1.0,0.0,7.0,1014.0,623.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,4361.0,14.0,7.0,1028196.0,631722.0,2028.0,1014.0,388129.0,1246.0,623.0,4.0,2.0,1.0
0.0,3.0,male,1.0,0.0,7.0,S,U,1014.0,Mr,623.0,2.0,Small,1.0,male_,male_,male_,male_,S_,S_,S_,U_,U_,Mr_,1.0,1.0,0.0,71.0,94.0,113.0,7.0,2.0,1.0,1.0,0.0,71.0,94.0,113.0,7.0,2.0,1.0,0.0,71.0,94.0,113.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5041.0,6674.0,8023.0,497.0,142.0,8836.0,10622.0,658.0,188.0,12769.0,791.0,226.0,49.0,14.0,4.0
1.0,1.0,female,1.0,0.0,71.0,C,C,94.0,Mrs,113.0,7.0,Small,2.0,female_,female_,female_,female_,C_,C_,C_,C_,C_,Mrs_,3.0,0.0,0.0,7.0,1014.0,293.0,4.0,1.0,9.0,0.0,0.0,21.0,3042.0,879.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7098.0,2051.0,28.0,7.0,1028196.0,297102.0,4056.0,1014.0,85849.0,1172.0,293.0,16.0,4.0,1.0
1.0,3.0,female,0.0,0.0,7.0,S,U,1014.0,Miss,293.0,4.0,Alone,1.0,female_,female_,female_,female_,S_,S_,S_,U_,U_,Miss_,1.0,1.0,0.0,53.0,94.0,293.0,6.0,2.0,1.0,1.0,0.0,53.0,94.0,293.0,6.0,2.0,1.0,0.0,53.0,94.0,293.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2809.0,4982.0,15529.0,318.0,106.0,8836.0,27542.0,564.0,188.0,85849.0,1758.0,586.0,36.0,12.0,4.0
1.0,1.0,female,1.0,0.0,53.0,S,C,94.0,Mrs,293.0,6.0,Small,2.0,female_,female_,female_,female_,S_,S_,S_,C_,C_,Mrs_,3.0,0.0,0.0,8.0,1014.0,623.0,6.0,1.0,9.0,0.0,0.0,24.0,3042.0,1869.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8112.0,4984.0,48.0,8.0,1028196.0,631722.0,6084.0,1014.0,388129.0,3738.0,623.0,36.0,6.0,1.0
0.0,3.0,male,0.0,0.0,8.0,S,U,1014.0,Mr,623.0,6.0,Alone,1.0,male_,male_,male_,male_,S_,S_,S_,U_,U_,Mr_,3.0,0.0,0.0,8.0,1014.0,63.0,7.0,1.0,9.0,0.0,0.0,24.0,3042.0,189.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8112.0,504.0,56.0,8.0,1028196.0,63882.0,7098.0,1014.0,3969.0,441.0,63.0,49.0,7.0,1.0
0.0,3.0,male,0.0,0.0,8.0,Q,U,1014.0,Mr,63.0,7.0,Alone,1.0,male_,male_,male_,male_,Q_,Q_,Q_,U_,U_,Mr_,1.0,0.0,0.0,51.0,41.0,623.0,9.0,2.0,1.0,0.0,0.0,51.0,41.0,623.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,2091.0,31773.0,459.0,102.0,1681.0,25543.0,369.0,82.0,388129.0,5607.0,1246.0,81.0,18.0,4.0
0.0,1.0,male,0.0,0.0,51.0,S,E,41.0,Mr,623.0,9.0,Alone,2.0,male_,male_,male_,male_,S_,S_,S_,E_,E_,Mr_,3.0,3.0,1.0,21.0,1014.0,623.0,0.0,5.0,9.0,9.0,3.0,63.0,3042.0,1869.0,0.0,15.0,9.0,3.0,63.0,3042.0,1869.0,0.0,15.0,1.0,21.0,1014.0,623.0,0.0,5.0,441.0,21294.0,13083.0,0.0,105.0,1028196.0,631722.0,0.0,5070.0,388129.0,0.0,3115.0,0.0,0.0,25.0
0.0,3.0,male,3.0,1.0,21.0,S,U,1014.0,Master,623.0,0.0,Medium,5.0,male_,male_,male_,male_,S_,S_,S_,U_,U_,Master_,3.0,0.0,2.0,11.0,1014.0,293.0,4.0,3.0,9.0,0.0,6.0,33.0,3042.0,879.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,2028.0,586.0,8.0,6.0,121.0,11154.0,3223.0,44.0,33.0,1028196.0,297102.0,4056.0,3042.0,85849.0,1172.0,879.0,16.0,12.0,9.0
1.0,3.0,female,0.0,2.0,11.0,S,U,1014.0,Mrs,293.0,4.0,Small,3.0,female_,female_,female_,female_,S_,S_,S_,U_,U_,Mrs_,2.0,1.0,0.0,30.0,1014.0,113.0,0.0,2.0,4.0,2.0,0.0,60.0,2028.0,226.0,0.0,4.0,1.0,0.0,30.0,1014.0,113.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,30420.0,3390.0,0.0,60.0,1028196.0,114582.0,0.0,2028.0,12769.0,0.0,226.0,0.0,0.0,4.0
